0    [main] INFO  org.eclipse.jetty.server.Server  Ð jetty-8.1.10.v20130312
118  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  Ð Deployment monitor /usr/local/projects/cpc-blacklight/jetty/contexts at interval 0
156  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  Ð Deployable added: /usr/local/projects/cpc-blacklight/jetty/contexts/solr.xml
406  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  Ð Extract jar:file:/usr/local/projects/cpc-blacklight/jetty/webapps/solr.war!/ to /usr/local/projects/cpc-blacklight/jetty/solr-webapp/webapp
3556 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  Ð NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
6981 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created search: solr.SearchHandler
6982 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created document: solr.SearchHandler
6982 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  Ð created advanced: solr.SearchHandler
7028 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  Ð xsltCacheLifetimeSeconds=60
7051 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð Hard AutoCommit: disabled
7051 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð Soft AutoCommit: disabled
7062 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/usr/local/projects/cpc-blacklight/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
7064 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  Ð newest commit generation = 1
7074 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  Ð Opening Searcher@2f8fc9ba main
7083 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð Initializing spell checkers
7099 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð Registering newSearcher listener for spellchecker: default
7119 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð Registering newSearcher listener for spellchecker: author
7147 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð Registering newSearcher listener for spellchecker: subject
7152 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð Registering newSearcher listener for spellchecker: title
7153 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  Ð No queryConverter defined, using default converter
7174 [searcherExecutor-4-thread-1] INFO  org.apache.solr.core.SolrCore  Ð [blacklight-core] Registered new searcher Searcher@2f8fc9ba main{StandardDirectoryReader(segments_1:1:nrt)}
7174 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CoreContainer  Ð registering core: blacklight-core
7175 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  Ð user.dir=/usr/local/projects/cpc-blacklight/jetty
7176 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  Ð SolrDispatchFilter.init() done
7314 [main] INFO  org.eclipse.jetty.server.AbstractConnector  Ð Started SocketConnector@0.0.0.0:8983
